index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
29879,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Three-yearly Visual Inspection with Acetic Acid (VIA)_30-65 vs. Five-yearly Visual Inspection with Acetic Acid (VIA)_25-65,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,1064,United States,2013,1182.08
29880,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Vaccination vs. Three-yearly Visual Inspection with Acetic Acid (VIA)_30-65,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,-27.62,United States,2013,-30.68
29881,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Five-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination vs. Three-yearly Visual Inspection with Acetic Acid (VIA)_30-65,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,1362,United States,2013,1513.16
29882,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Five-yearly Visual Inspection with Acetic Acid (VIA)_25-65 + vaccination vs. Five-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,4570,United States,2013,5077.19
29883,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Five-yearly Visual Inspection with Acetic Acid (VIA)_20-65 + vaccination vs. Five-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,5138.89,United States,2013,5709.21
29884,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Three-yearly cytology_30-65 vs. Five-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,-378.4,United States,2013,-420.4
29885,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Three-yearly HPV testing_30-65 vs. Five-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,-888.67,United States,2013,-987.29
29886,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Three-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination vs. Five-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,2544,United States,2013,2826.34
29887,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Three-yearly Visual Inspection with Acetic Acid (VIA)+cytology_30-65 vs. Three-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,-201.94,United States,2013,-224.35
29888,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Three-yearly Visual Inspection with Acetic Acid (VIA)_25-65 + vaccination vs. Three-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,6351.67,United States,2013,7056.59
29889,"Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR","BACKGROUND: Several approaches to reduce the incidence of invasive cervical cancers exist. The approach adopted should take into account contextual factors that influence the cost-effectiveness of the available options. OBJECTIVE: To determine the cost-effectiveness of screening strategies combined with a vaccination program for 10-year old girls for cervical cancer prevention in Vientiane, Lao PDR. METHODS: A population-based dynamic compartment model was constructed. The interventions consisted of a 10-year old girl vaccination program only, or this program combined with screening strategies, i.e., visual inspection with acetic acid (VIA), cytology-based screening, rapid human papillomavirus (HPV) DNA testing, or combined VIA and cytology testing. Simulations were run over 100 years. In base-case scenario analyses, we assumed a 70% vaccination coverage with lifelong protection and a 50% screening coverage. The outcome of interest was the incremental cost per Disability-Adjusted Life Year (DALY) averted. RESULTS: In base-case scenarios, compared to the next best strategy, the model predicted that VIA screening of women aged 30-65 years old every three years, combined with vaccination, was the most attractive option, costing 2 544 international dollars (I$) per DALY averted. Meanwhile, rapid HPV DNA testing was predicted to be more attractive than cytology-based screening or its combination with VIA. Among cytology-based screening options, combined VIA with conventional cytology testing was predicted to be the most attractive option. Multi-way sensitivity analyses did not change the results. Compared to rapid HPV DNA testing, VIA had a probability of cost-effectiveness of 73%. Compared to the vaccination only option, the probability that a program consisting of screening women every five years would be cost-effective was around 60% and 80% if the willingness-to-pay threshold is fixed at one and three GDP per capita, respectively. CONCLUSIONS: A VIA screening program in addition to a girl vaccination program was predicted to be the most attractive option in the health care context of Lao PDR. When compared with other screening methods, VIA was the primary recommended method for combination with vaccination in Lao PDR.",2016-99-22134,27631732,PLoS One,Phetsavanh Chanthavilay,2016,11 / 9,e0162915,No,27631732,"Phetsavanh Chanthavilay; Daniel Reinharz; Mayfong Mayxay; Keokedthong Phongsavan; Donald E Marsden; Lynne Moore; Lisa J White; Economic Evaluation of Screening Strategies Combined with HPV Vaccination of Preadolescent Girls for the Prevention of Cervical Cancer in Vientiane, Lao PDR, PLoS One , 2016; 11(9):1932-6203; e0162915",DALY,Lao,Not Stated,"Diagnostic, Screening",Three-yearly Visual Inspection with Acetic Acid (VIA)_20-65 + vaccination vs. Three-yearly Visual Inspection with Acetic Acid (VIA)_30-65 + vaccination,Screening strategies across ages 25-65 combined with 10-years old girl vaccination,Not Stated,6 Years,Female,Full,,3.00,3.00,7712,United States,2013,8567.89
